SKU;EAN;Orders_8_weeks
N003171a;4065351058892;126
N005264a;4065351060659;82
N018563a;4065351052562;34
N003935a;4065351065050;158
N023071a;4065351067672;130
N007171a;4065351061458;86
N024791a;4065351068990;78
N008735a;4065351065173;74
N026091a;4065351069126;70
N003671a;4065351059851;68
N003971a;4065351060123;64
N002463a;4065351057864;52
N003663b;4065351059929;48
041556a;4061331175269;48
N020071a;4065351055365;46
N013363a;4065351067245;46
N004863a;4065351060604;44
N007871a;4065351061915;40
041553a;4061331175238;39
N016463a;4065351070726;38
N021863a;4065351054917;38
N002471a;4065351057833;36
N005863a;4065351060925;36
N005265a;4065351060635;34
N020863a;4065351054658;32
302551b;4251285448599;31
609553a;4251285495609;31
041551a;4061331175184;103
303031c;4251285456846;41