sku,stock,location,barcode
000251a,36,"D/08/1,D/10/1,E/15/1",4260273216737
002151a,7,F/07/1,4251285444683
002151b,5,F/09/1,4251285444690
002151c,30,I/08/1,4251285444706
106851c,26,E/14/1,4260442281559
109031b,40,F/04/1,4251285442399
204451a,32,D/09/1,4260349655828
204641a,12,D/14/1,4251285406377
204641c,25,D/19/1,4251285406384
204642c,9,F/04/3,4260349659642
301614a,96,"D/04/3,F/18/3",4260397151211
302814a,40,E/17/3,4251285424258
303014a,48,H/04/3,4251285456860
303014c,69,"D/08/3,E/10/3",4251285456624
303031c,20,F/06/1,4251285456846
500114a,49,H/05/3,4251285404632
501214a,49,H/09/3,4251285460980
504551a,13,F/17/1,4251285411036
504551b,13,H/06/1,4251285411043
504551c,19,D/21/1,4251285411050
504552b,78,D/23/2,4251285411074
603351a,33,I/06/1,4260397158265
607314b,48,F/12/3,4251285416741
609551a,18,E/04/1,4251285453388
609551b,26,D/04/1,4251285453395
501633a,25,F/16/2,4251285465978
107631c,27,E/08/1,4251285410282
503551b,17,E/20/1,4260442280347
204751b,2,E/07/1,4251285441873
000253a,41,E/07/2,4251285467026
603355a,42,G/11/1,4251285492691
002153b,40,F/05/2,4251285492981
002153c,13,F/06/2,4251285492998
301655a,49,"E/11/1,H/12/1",4061331030346
205512a,40,C/16/2,4251285493469
205512b,18,C/22/2,4251285493452
301245a,57,E/11/2,4260349657785
609553a,48,D/16/2,4251285495609
402612a,48,C/10/3,4251285467736
108012a,52,"B/05/3,C/22/3",4251285412910
108012b,27,D/06/3,4260349657129
205412b,46,I/11/2,4260442281573
301612a,51,"C/20/3,C/23/1",4260349657808
501212a,12,C/08/1,4251285460058
501812a,9,C/14/1,4260349657174
503812b,19,C/07/1,4251285400016
503855b,46,"H/10/1,G/15/1",4251285429925
504412a,48,"C/10/1,E/12/3",4251285410619
603312a,23,C/15/2,4260349657242
607312b,20,H/11/3,4251285416710
506012a,32,C/22/1,4251285456167
700112a,29,C/12/2,4251285412828
103312a,53,"C/23/2,I/06/3",4251285402768
002112c,8,"C/05/1,E/02/3",4251285444614
302812a,24,C/09/2,4251285462403
302712a,10,C/09/1,4251285405738
302755a,5,E/09/1,4251285495159
000212a,36,I/11/3,4260349657082
003112a,55,"B/07/3,C/14/3",4251285489868
004612a,23,C/14/2,4061331000028
004631a,20,F/18/1,4251285479999
004655a,23,"E/03/1,G/12/1",4061331000004
004651a,20,D/13/1,4251285479944
004551b,41,"D/03/1,E/06/1",4260273214030
005012b,22,C/10/2,4061331002541
005055b,8,H/04/1,4061331002602
005812a,49,C/11/3,4061331000554
005812b,29,H/06/3,4061331000547
006212a,18,I/08/3,4061331002220
504312b,22,C/18/1,4061331008031
611712a,24,C/07/2,4061331008789
611755a,18,D/18/2,4061331008765
611751a,31,G/05/1,4061331008758
007612a,53,"C/17/1,C/24/2",4061331005597
008351a,37,"D/18/1,E/05/1",4061331007881
008612c,56,"C/05/3,C/18/3",4061331006709
008651a,15,I/05/1,4061331006839
008651c,21,F/12/1,4061331006846
013712c,41,C/06/2,4061331009212
004614a,100,"E/03/2,E/09/3,H/13/3",4251285485020
004653a,54,G/05/2,4061331014452
012912c,48,C/17/3,4061331014629
504553b,36,H/07/1,4251285484672
004656a,7,E/10/2,4061331019006
018412b,21,C/24/1,4061331031787
020151a,36,"D/11/1,E/10/1",4061331037642
020151c,21,E/12/1,4061331037659
020153c,21,E/15/2,4061331037727
020614c,81,"E/04/3,E/19/3",4061331039363
020653c,63,"D/07/2,E/16/2",4061331039578
020712a,44,I/05/3,4061331039233
020712b,51,"I/10/3,I/12/2",4061331039264
020712c,22,C/13/2,4061331039271
021714a,47,D/20/3,4061331041861
021714b,49,F/13/3,4061331041854
021714c,68,"F/11/3,G/04/3",4061331041823
021731c,46,"G/04/1,G/04/2",4061331041892
021812c,25,"B/09/3,C/21/3",4061331042066
021814a,48,H/07/3,4061331042103
021814c,50,H/08/3,4061331042097
022312b,23,C/17/2,4061331043131
023612b,37,C/19/1,4061331046057
023612c,29,C/04/3,4061331046064
023614b,45,D/18/3,4061331046071
023714a,45,D/16/3,4061331046521
023714b,72,"E/06/3,F/09/3",4061331046835
023731a,24,D/05/2,4061331046576
023731b,38,F/13/1,4061331046583
008353a,54,G/08/1,4061331054427
204645a,36,D/12/2,4260349658409
204645c,39,I/05/2,4260349658423
301241a,23,G/14/2,4260273218748
N016647b,43,"F/14/3,H/14/2",4065351053170
004632a,13,F/13/2,4061331121617
004615a,33,E/15/3,4061331056209
020615c,9,G/06/3,4061331069612
038846a,29,F/04/2,4061331166304
038812a,20,H/10/3,4061331166311
027114a,48,D/07/3,4061331107321
027114c,32,E/16/3,4061331107345
027112a,32,I/09/3,4061331107383
027112b,35,C/19/2,4061331107390
027112c,49,C/13/1,4061331107406
029233b,38,D/19/2,4061331112011
034312b,68,"B/06/3,C/08/2",4061331107697
N020071a,50,"H/07/2,I/06/2",4065351055365
N020171a,9,H/09/2,4065351055372
N018571a,41,H/08/2,4065351056010
N015971a,29,G/15/2,4065351055570
N000471a,2,I/15/3,4065351055983
039812a,41,C/05/2,4061331171988
N022171a,41,E/04/2,4065351056539
N016371b,1,D/21/3,4065351056652
N002171a,43,F/17/3,4065351057611
N002471a,26,D/11/2,4065351057833
040312a,43,"C/06/1,H/12/3",4061331173258
040315a,25,E/14/2,4061331173210
N003171a,13,E/12/2,4065351058892
040655a,37,F/05/1,4061331173807
040612a,40,C/12/3,4061331173890
040614c,37,E/13/3,4061331173791
N003571a,39,D/06/2,4065351059998
N004863a,99,H/12/2,4065351060604
N004871a,23,H/15/2,4065351060581
N005264a,29,G/18/3,4065351060659
N005871a,32,"D/08/2,D/19/3",4065351060901
041455a,44,D/16/1,4061331175313
041456a,56,I/11/1,4061331175375
041412a,55,"C/13/3,I/07/3",4061331175368
041414a,50,I/04/3,4061331175306
041551a,34,G/10/1,4061331175184
041553a,46,H/16/2,4061331175238
041555a,39,D/04/2,4061331175207
041556a,67,"D/01/2,G/09/2",4061331175269
041512a,91,"C/06/3,C/15/3",4061331175252
041755a,49,"F/10/1,G/07/1",4061331175924
041712a,66,"C/20/1,C/24/3",4061331176075
041712b,27,C/16/1,4061331176105
042555c,26,E/02/1,4061331177331
042556c,28,D/09/2,4061331177539
042512a,27,D/15/3,4061331177461
042512b,33,C/21/2,4061331177492
042512c,53,"C/16/3,C/20/2",4061331177522
042514c,41,E/05/3,4061331177300
N007171a,23,F/12/2,4065351061458
N023071a,29,I/13/3,4065351067672
N003936a,7,E/09/2,4065351065043
N003935a,39,G/17/3,4065351065050
043555a,12,I/07/1,4061331181802
043556a,4,F/08/2,4061331181864
043531a,7,F/11/1,4061331181772
043512a,20,C/04/1,4061331181857
043515a,13,E/06/2,4061331181819
043514a,27,D/09/3,4061331181796
N008935a,41,G/13/3,4065351065210
N008936a,31,H/06/2,4065351065203
N004836a,7,F/10/2,4065351064282
N008736a,38,H/05/2,4065351065166
N023271a,40,D/10/3,4065351068013
N023463a,9,"D/17/3,D/17/3",4065351068150
N023471a,14,H/13/2,4065351068136
043712a,60,"C/04/2,H/14/3",4061331181994
043714a,47,E/18/3,4061331181932
